outcome,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10
0,B,0.7686,A,B,A,3.79150,D,E,88.13197,L
1,A,0.9928,A,B,C,8.09045,C,B,45.47370,C
1,B,0.6656,B,A,A,1.06975,D,B,39.44169,J
1,A,0.0524,A,A,D,4.69492,C,B,14.51561,N
1,B,0.0670,D,B,A,2.02459,F,B,11.25783,A
1,B,0.7201,A,A,A,4.73810,D,D,33.34208,M
0,A,0.7608,A,A,A,4.23139,D,J,82.08044,E
0,B,0.9952,C,A,C,6.39811,F,E,4.739470,P
0,B,0.6300,A,B,A,5.47019,D,A,26.55999,L
1,A,0.0605,D,B,E,3.95737,D,B,49.13928,C
0,A,0.7049,A,B,A,9.19598,E,G,80.69266,I
0,B,0.6473,D,B,C,3.01535,B,E,85.85112,O
0,B,0.2921,D,B,C,0.48032,B,C,94.52509,A
0,A,0.6901,C,A,E,0.88386,E,I,47.57651,S
0,B,0.2706,C,A,B,3.67275,B,D,2.175290,F
1,A,0.6466,C,A,A,7.06144,E,I,65.33143,O
1,B,0.4827,D,A,A,5.31101,A,G,81.69039,P
1,A,0.7896,A,A,A,7.74826,E,I,19.75531,L
1,B,0.0256,D,A,A,0.61194,F,B,30.92307,F
0,A,0.9812,A,A,E,7.43627,E,H,37.04195,O
1,B,0.4643,C,B,C,0.85782,B,E,78.24226,E
1,B,0.4115,A,B,E,0.58994,A,I,57.81272,N
0,B,0.8611,A,B,A,1.62169,D,G,53.26179,S
1,B,0.3779,A,A,A,9.89595,B,B,96.22874,Q
0,B,0.7832,A,B,C,7.29229,F,G,38.46147,E
0,B,0.1355,A,A,A,7.60022,C,B,81.42133,S
0,B,0.2473,A,B,B,2.77573,C,B,25.61313,T
0,A,0.5169,D,B,E,7.00002,B,E,45.59674,A
1,A,0.8094,B,C,C,4.07528,C,B,19.34774,C
0,A,0.1918,C,A,A,7.88799,E,B,94.49628,B
1,A,0.1468,A,A,A,8.93392,C,E,49.99278,E
1,B,0.7823,A,B,E,5.76335,F,I,84.57032,E
1,A,0.5016,B,B,A,7.33346,B,C,50.40509,R
1,A,0.0721,D,A,A,9.84798,D,B,45.91920,E
0,A,0.0066,B,B,C,8.63616,E,C,84.15530,G
1,B,0.0788,D,B,A,2.79345,D,I,56.26715,L
1,B,0.1158,A,B,B,7.52900,E,C,32.51757,K
0,A,0.4612,C,C,C,0.70623,D,D,55.68387,D
0,B,0.0971,D,A,A,7.20118,E,F,15.46537,S
1,A,0.7683,C,B,A,9.78223,C,E,55.08834,M
0,B,0.5873,A,B,A,7.31400,D,F,73.57077,G
0,B,0.0048,C,A,B,9.72335,D,C,35.13598,H
1,B,0.2680,A,C,C,8.09527,A,B,83.58162,R
1,B,0.6878,D,A,A,8.78945,D,F,83.92417,E
1,A,0.6390,D,B,C,0.73627,B,G,67.10688,O
0,A,0.0701,A,B,A,6.93725,A,H,67.58538,J
1,B,0.5598,C,A,A,9.13782,C,D,60.72720,Q
0,B,0.8837,D,A,C,2.14161,D,G,68.45044,R
1,A,0.2627,C,A,C,6.48678,D,C,56.02393,E
1,B,0.6737,A,A,A,8.89186,F,J,23.99479,A
1,A,0.3244,C,B,A,5.70394,C,I,2.707575,B
1,A,0.4691,C,B,A,1.47945,B,G,11.15072,G
0,B,0.7874,D,A,A,2.30498,D,B,7.494330,G
1,A,0.0454,A,B,C,4.92310,D,B,39.33067,O
0,A,0.1426,A,B,A,0.63735,D,I,6.533009,L
1,B,0.7473,B,C,C,3.26178,F,B,40.70979,H
0,A,0.7266,A,B,C,4.17624,F,G,32.61432,I
0,B,0.2628,A,B,C,4.75976,D,G,6.692614,B
0,B,0.0258,D,B,E,9.27119,C,B,97.20921,P
1,B,0.6939,B,A,C,3.88563,B,D,89.74474,H
1,B,0.4886,A,C,C,7.78689,C,D,78.57602,E
0,B,0.5935,B,B,E,4.15351,D,B,24.64265,G
0,B,0.9774,A,A,A,0.39370,A,F,17.39308,N
0,B,0.9834,B,B,E,2.89534,B,B,70.23378,C
1,B,0.6961,B,A,A,6.42404,D,I,35.67196,R
1,B,0.7529,B,A,C,7.15640,B,F,55.91085,P
1,A,0.7342,C,A,E,0.33046,D,C,67.58989,M
0,A,0.8469,B,B,D,3.33718,D,B,44.77597,E
0,B,0.7537,D,A,B,9.23713,B,B,47.50566,M
1,A,0.5162,A,B,E,3.13030,C,I,18.36695,I
1,A,0.2972,A,A,E,5.81932,D,B,40.35051,A
1,A,0.1180,C,A,C,1.51635,B,D,84.35946,G
0,B,0.1362,B,B,A,5.71981,D,I,39.43268,K
1,A,0.6913,D,B,E,6.06159,C,B,65.97753,K
0,A,0.1670,A,A,A,0.20255,C,D,6.663290,K
1,B,0.3998,A,A,C,9.49890,E,I,77.48729,A
1,A,0.8492,C,B,A,0.08531,B,E,21.31250,N
0,A,0.4907,B,C,A,6.35637,E,H,57.41570,H
1,A,0.1549,C,B,E,8.87364,B,G,53.18806,H
1,B,0.0149,C,A,A,0.94329,C,B,38.16257,E
0,A,0.1858,D,A,A,3.98364,D,B,48.87304,J
0,B,0.2602,A,B,B,5.40896,E,C,84.80430,T
1,A,0.1615,D,A,A,7.53183,E,D,76.80662,K
0,A,0.2501,C,A,B,5.77331,B,A,66.37247,O
0,B,0.1807,B,B,A,8.55674,E,D,3.285499,N
0,A,0.4134,B,B,B,0.71023,A,E,72.01544,G
0,B,0.3038,C,C,A,6.03964,F,G,9.963725,M
0,B,0.0051,A,A,A,8.66340,D,F,46.06082,Q
0,B,0.6266,D,B,A,3.08812,C,E,81.58635,B
1,A,0.9132,A,C,C,2.58961,A,E,91.44412,O
1,B,0.7438,A,A,A,5.05947,B,B,37.79687,P
0,B,0.9282,B,C,E,3.23276,E,E,21.69507,S
1,B,0.2358,B,B,C,5.71823,C,B,66.48211,H
0,A,0.6348,A,B,A,0.35510,C,A,38.43371,G
0,B,0.9718,A,C,A,0.32917,F,H,91.22892,S
1,A,0.7398,B,C,C,2.88646,F,E,51.21316,M
0,B,0.0567,C,B,A,4.80358,E,H,95.53723,A
0,B,0.4752,B,C,E,7.10303,E,F,34.67225,K
1,B,0.8558,C,A,A,4.25571,C,C,99.70371,C
0,B,0.2800,B,B,A,4.01779,E,D,51.57914,S
1,B,0.6057,B,A,C,0.01121,B,I,0.682128,R
0,A,0.5416,B,B,C,3.62024,F,I,32.09703,E
0,A,0.5120,A,B,A,2.87270,C,B,62.99546,C
1,A,0.2651,A,B,E,3.28215,B,C,3.575054,T
1,B,0.6296,D,A,E,2.79535,A,B,44.08318,I
1,B,0.7081,B,B,C,9.39981,E,E,43.47441,J
0,B,0.3305,A,B,A,0.45848,C,G,55.42275,L
0,A,0.6485,D,A,A,0.41426,F,E,48.28854,R
1,A,0.8078,B,C,A,6.45008,C,C,11.64634,K
1,B,0.7744,C,A,E,3.25825,F,J,18.93434,M
1,B,0.0947,A,B,C,7.51037,A,G,27.75451,P
0,B,0.7942,B,B,B,4.99130,D,E,57.17776,I
0,A,0.5880,A,A,B,9.89358,D,E,55.84497,H
1,B,0.5479,B,B,A,2.28138,E,D,19.19731,S
0,B,0.4466,A,B,C,4.24994,B,I,80.34667,L
0,A,0.9706,D,B,C,1.33134,A,G,16.60081,K
1,B,0.2627,A,A,E,0.29468,D,G,12.14968,I
1,A,0.8916,C,B,B,1.69577,D,G,26.54132,A
1,B,0.4513,A,B,A,7.66980,F,I,28.51759,I
1,B,0.5874,A,B,A,1.90991,E,F,69.51095,L
0,B,0.8162,A,A,A,2.49729,C,E,33.92084,A
1,B,0.2413,C,B,C,6.33058,A,F,45.30145,K
0,B,0.1310,A,A,A,7.70882,B,C,62.65306,Q
0,B,0.6350,A,A,A,6.60698,A,B,19.84451,K
1,A,0.0855,A,B,C,5.31643,C,I,79.46761,A
0,A,0.6627,B,A,C,2.20676,B,I,42.27688,D
1,B,0.0059,A,A,C,7.58832,B,F,90.31830,E
1,B,0.7309,C,B,D,2.15240,F,B,51.47985,K
1,A,0.8764,A,B,A,1.40811,C,E,64.28950,G
0,B,0.6050,D,B,C,1.38462,C,D,60.27257,N
0,B,0.5573,A,A,A,1.06319,C,B,70.32048,P
0,B,0.0749,C,B,A,2.94843,F,E,83.73106,E
0,A,0.8676,B,B,A,5.52061,B,H,5.057514,E
1,B,0.2518,B,B,B,0.66347,C,A,72.16127,M
1,A,0.7817,A,B,B,8.51975,D,E,25.44762,F
1,B,0.3703,A,B,B,4.04170,E,G,96.10835,N
1,A,0.4995,D,A,A,2.19107,C,I,41.11997,P
1,B,0.7075,B,A,A,8.40699,A,A,45.75429,K
0,A,0.2443,A,B,C,9.81910,D,I,26.65865,M
0,B,0.8702,B,B,C,7.47549,E,C,17.41914,O
0,B,0.5550,A,C,A,0.08337,A,C,25.80434,F
0,B,0.8913,D,A,B,9.73881,B,I,92.96764,C
0,A,0.6345,A,B,C,0.92872,C,B,94.06314,C
0,B,0.0312,A,A,A,6.24034,F,E,46.33097,O
0,B,0.0707,A,B,E,1.45615,E,C,31.87873,K
0,B,0.6471,B,B,C,6.86841,F,B,28.49708,T
1,B,0.9453,C,B,C,1.91890,B,F,5.390901,M
0,A,0.6107,A,A,A,1.86131,C,D,40.60809,D
1,B,0.4442,B,C,E,3.78570,C,B,48.62775,G
0,A,0.1692,D,B,A,4.53825,B,D,75.89266,O
0,A,0.8152,C,C,A,5.24805,D,H,93.13125,E
1,B,0.3016,A,B,C,9.62280,B,B,14.77780,R
1,B,0.8926,D,C,A,0.32300,D,I,29.04682,F
1,B,0.2620,C,B,A,0.27714,D,C,35.43541,D
0,B,0.8833,A,C,A,0.05679,B,D,50.25636,R
0,A,0.0343,B,B,B,5.77760,A,G,76.38165,B
1,A,0.9807,C,B,A,0.73366,C,B,79.26777,J
0,A,0.2860,B,B,A,1.64583,A,E,0.289956,P
1,A,0.5696,B,B,C,2.65705,D,J,76.50776,M
1,A,0.5011,A,A,C,5.37999,C,B,52.38445,T
0,A,0.2100,A,B,B,2.75832,D,C,39.09869,J
0,B,0.3656,D,A,A,6.48503,B,J,32.62186,D
0,A,0.9074,C,B,A,3.41056,C,D,22.60848,G
1,B,0.9522,C,B,E,8.96223,D,B,98.66681,O
1,B,0.7524,D,B,A,4.48245,C,G,53.63493,K
1,A,0.9150,B,B,A,3.24501,B,I,56.46958,R
0,B,0.9114,A,B,E,7.79253,B,F,43.86556,R
1,B,0.5223,A,B,E,2.22147,D,H,36.85240,F
0,A,0.7938,B,A,A,9.72029,E,E,75.62512,L
0,B,0.3039,B,A,C,0.77416,E,A,1.372481,M
0,A,0.9088,B,A,A,0.60889,F,A,38.18963,O
0,B,0.3481,A,B,D,2.11605,F,F,59.82298,M
1,B,0.1238,C,A,A,3.87538,E,I,8.261507,I
1,A,0.2034,C,A,A,0.17600,E,B,21.11773,E
0,B,0.8498,A,C,C,2.03858,A,D,56.61898,S
1,B,0.9447,C,B,E,9.49689,F,I,5.375709,G
0,B,0.9136,A,B,A,4.60895,C,B,1.563656,J
1,A,0.9642,B,B,E,6.63649,B,E,15.78598,S
0,A,0.0594,A,A,C,8.51092,B,A,21.24615,H
1,A,0.7287,C,A,A,5.54556,A,H,80.87327,F
1,B,0.3290,B,A,A,9.60676,D,B,37.34629,A
0,B,0.7099,B,B,A,9.05681,D,B,14.44053,M
0,B,0.2315,B,B,D,9.50129,C,G,87.78884,M
0,A,0.0434,B,B,E,7.06865,A,E,96.76617,K
0,A,0.5445,A,A,E,7.36370,C,H,60.13886,P
0,A,0.8517,B,C,E,0.42614,A,B,33.08771,T
1,A,0.4410,D,A,B,6.52035,F,E,63.28373,R
1,B,0.7562,D,A,E,5.98846,E,G,71.66943,K
0,B,0.7205,D,B,E,8.76631,D,B,54.57534,M
1,A,0.7808,C,A,E,2.11681,B,J,4.156124,B
1,B,0.6669,C,B,A,4.91884,E,C,97.47686,H
1,B,0.6781,B,A,C,1.37391,E,H,75.26001,N
1,B,0.4913,C,B,E,6.97507,D,C,65.31991,S
1,A,0.6239,B,A,B,6.31155,D,B,4.585640,F
1,A,0.6271,A,C,B,9.70796,F,I,63.22558,N
1,B,0.4788,A,A,E,5.69789,D,E,20.30585,M
0,A,0.8081,D,A,C,3.22056,C,J,15.52059,Q
0,B,0.0997,A,B,D,4.89312,F,B,45.65915,C
0,A,0.1629,D,B,A,8.97573,B,F,78.91109,L
0,A,0.3314,A,A,C,0.75611,B,E,67.91917,R
1,A,0.0006,D,A,E,3.76212,C,H,55.42678,E
1,B,0.8071,B,B,C,8.17716,F,E,61.02733,S
1,A,0.3729,B,B,A,5.51912,C,D,17.26215,J
1,A,0.7239,A,B,C,4.93936,B,G,40.90944,E
1,A,0.2545,D,B,A,7.57724,A,I,2.607334,O
1,B,0.1339,A,A,C,8.12748,A,E,17.41437,O
1,A,0.0661,C,C,A,3.93008,D,E,80.02822,G
0,B,0.3765,B,B,A,6.07324,F,C,35.65726,A
1,B,0.8849,C,B,D,9.55346,C,B,55.73327,P
1,A,0.8967,A,C,A,5.51739,F,B,58.26550,F
1,B,0.6980,A,A,C,4.36123,E,B,63.68399,O
1,B,0.7024,A,C,C,9.08517,C,B,33.02340,L
0,B,0.4040,B,B,A,0.82786,B,B,15.65170,K
1,B,0.8990,C,C,A,8.42964,D,H,42.90220,R
1,B,0.0610,C,B,E,3.56888,E,B,87.15170,P
0,B,0.8542,C,B,A,4.78229,B,E,73.27325,P
0,B,0.6307,B,A,A,7.62669,A,I,47.04363,I
0,A,0.1212,A,B,C,5.53066,F,C,8.527999,P
1,B,0.6776,A,B,C,2.90818,B,B,95.09948,C
0,B,0.7587,A,A,B,7.16644,D,B,24.50636,H
0,A,0.5360,C,B,E,6.13680,C,J,55.30280,J
0,A,0.0048,D,A,A,3.71601,D,A,37.80661,J
1,B,0.2655,D,A,A,8.46841,E,C,37.22310,G
1,B,0.1361,A,A,E,2.91001,B,I,23.77605,O
1,B,0.7852,D,B,C,0.80390,B,B,56.64695,E
0,A,0.6122,A,B,A,6.79204,C,B,33.37013,D
1,B,0.7785,B,B,E,7.43737,D,A,47.82638,T
0,B,0.0706,A,A,C,8.85062,B,B,8.302333,T
0,B,0.3901,A,B,C,4.80395,C,I,17.89667,Q
0,A,0.6309,A,C,A,3.50110,B,F,8.484012,E
0,A,0.1460,B,B,A,0.18768,B,B,53.56869,Q
1,A,0.4148,B,B,A,8.17363,C,B,4.618201,D
0,A,0.8899,B,A,A,2.32709,D,B,45.72966,R
1,A,0.0540,A,C,A,4.18905,C,B,27.97245,D
0,A,0.6443,A,B,A,7.63857,C,I,89.80385,S
1,A,0.5437,A,C,B,9.28542,E,B,37.03940,O
1,B,0.1232,C,C,C,5.74411,D,E,83.29653,S
1,B,0.4479,B,A,B,4.47613,F,B,96.39396,J
0,A,0.0007,A,B,E,5.27789,D,I,67.09181,O
1,A,0.5523,B,B,A,9.44842,B,D,77.25075,O
1,B,0.8228,D,C,E,2.52466,A,G,57.76493,P
0,A,0.1547,B,A,E,9.04866,C,B,79.06568,T
0,A,0.0082,B,B,D,4.77565,E,I,11.42439,G
1,B,0.6426,D,C,B,0.94632,F,G,12.36302,B
1,B,0.8474,D,A,B,8.47140,E,B,24.78593,G
1,B,0.9104,A,B,E,8.25298,E,B,3.498695,Q
1,B,0.3849,C,A,A,7.75669,C,B,8.853717,C
0,B,0.8150,D,B,A,4.24219,D,E,51.67684,Q
0,B,0.8254,A,A,B,6.10858,D,E,24.10100,R
1,A,0.4088,A,B,D,6.72079,E,H,63.25045,Q
0,A,0.3253,D,B,A,4.26426,D,F,26.40453,N
1,A,0.5953,A,B,A,0.27135,B,H,80.52138,R
0,B,0.5420,B,B,A,0.90818,B,G,66.57677,L
1,B,0.1156,C,B,D,6.22519,E,B,32.68558,H
0,B,0.0643,A,B,B,0.17907,F,H,58.65444,R
0,B,0.2576,B,C,B,7.50108,A,F,54.08556,T
1,A,0.7700,A,A,A,0.33385,C,C,11.67187,K
0,A,0.2567,B,B,A,4.56411,D,G,62.64988,Q
1,B,0.3393,A,A,A,8.21977,B,D,68.04156,O
1,B,0.5666,A,B,D,3.22901,B,B,63.58905,P
0,A,0.8333,A,A,C,0.43304,C,B,44.48815,G
0,A,0.6397,A,B,A,2.05412,B,E,83.21792,C
1,B,0.9575,C,A,A,0.25074,A,D,28.28931,L
1,A,0.5866,C,B,D,6.01391,B,B,31.33420,H
1,A,0.4798,D,B,C,1.51896,B,E,46.16839,A
0,A,0.6647,A,A,E,6.92684,D,D,15.78582,K
0,A,0.0186,C,B,C,3.99866,C,B,80.28382,T
1,B,0.3249,C,B,E,2.50217,B,B,20.63766,R
1,A,0.8352,D,B,C,8.04629,C,G,54.44901,T
0,B,0.1153,A,A,E,2.71033,C,I,70.76919,R
0,A,0.2330,A,B,A,5.33473,D,B,37.10785,L
1,B,0.8764,C,C,A,3.20217,A,F,54.98557,F
1,B,0.3568,C,A,A,1.35022,C,E,70.60726,K
1,B,0.7911,B,B,A,3.16625,C,D,45.02069,I
0,A,0.9891,C,C,A,9.81390,A,H,62.76284,M
1,B,0.5861,C,C,A,9.12414,C,G,27.18520,T
0,B,0.6831,D,C,B,7.39317,D,E,24.00192,T
0,A,0.3217,B,B,C,9.87749,E,E,43.27257,N
1,A,0.8997,D,B,A,9.74301,C,A,69.67664,R
1,B,0.7831,A,A,C,7.00551,F,H,7.040376,O
0,B,0.3131,D,B,C,1.87879,B,D,49.75856,F
0,A,0.4803,D,B,A,8.90522,E,C,79.22818,D
1,A,0.4105,A,A,C,8.15444,E,D,78.79225,Q
1,A,0.4447,B,B,C,6.04248,A,C,54.44313,P
0,A,0.0421,A,B,A,0.54767,C,H,89.14523,A
0,B,0.6167,C,B,C,1.12374,A,C,3.450432,C
1,B,0.7838,C,B,B,7.93485,D,A,59.59285,A
0,A,0.5301,A,B,A,6.35908,F,B,10.31456,Q
0,B,0.2870,B,A,D,1.22760,B,B,41.74748,G
0,B,0.1985,B,B,A,7.36665,E,H,50.12333,N
0,A,0.5573,D,B,A,2.14051,B,D,19.33965,J
0,B,0.4315,D,B,A,5.08805,B,B,71.98464,L
0,A,0.4233,A,B,C,6.99169,C,B,85.58099,T
1,B,0.6822,A,B,D,6.82855,E,B,22.74571,A
1,A,0.7828,C,B,A,7.79389,E,F,52.11634,L
0,B,0.2870,A,B,B,1.52915,D,D,6.069035,K
0,B,0.4604,D,B,D,3.10483,B,C,71.93810,O
1,B,0.4083,D,A,D,7.89166,F,I,28.25310,M
1,A,0.3964,C,C,B,4.18075,D,I,1.897626,R
1,A,0.3359,A,B,A,9.46234,F,I,25.38373,T
1,A,0.0267,C,B,A,7.27038,A,B,13.04283,N
1,B,0.9951,D,C,A,3.75736,D,I,75.03059,K
0,B,0.5028,B,A,B,6.39558,C,I,86.25252,P
1,A,0.2820,A,A,A,0.05020,E,G,16.62149,C
0,A,0.4520,C,A,C,1.32613,D,A,42.00538,J
1,B,0.6202,A,B,D,7.31380,E,D,70.11838,J
0,A,0.8233,C,B,A,8.39688,F,J,58.43910,K
0,A,0.4576,B,A,A,9.13480,C,B,71.09174,B
1,A,0.0437,C,A,A,8.72939,B,J,70.62905,C
0,B,0.8157,C,B,A,7.63015,C,B,5.140349,S
1,A,0.4184,D,B,C,1.98691,C,G,67.00485,T
1,A,0.5704,B,B,C,2.75924,B,I,31.13689,T
1,B,0.9853,A,B,C,6.37061,B,C,54.86690,I
1,A,0.2761,B,C,A,5.02146,B,B,5.343572,R
0,B,0.0088,A,A,B,8.49331,D,A,97.02541,J
0,B,0.0384,C,A,E,5.99435,C,B,1.713759,N
0,B,0.3132,B,B,A,0.56875,B,I,91.95335,A
1,B,0.5884,A,B,E,2.12294,A,B,76.67310,N
0,A,0.3874,C,B,A,0.14612,B,B,61.69800,E
0,B,0.9792,B,C,A,6.75289,A,J,58.35319,P
1,A,0.2329,A,A,B,0.33386,F,F,90.10448,Q
0,B,0.8668,B,C,A,3.68441,E,E,64.95521,K
0,A,0.7895,A,A,B,5.04791,B,F,13.86701,P
0,A,0.9257,A,B,A,9.26397,F,G,39.61611,J
0,B,0.2893,A,B,A,6.29673,E,F,99.36771,M
1,A,0.5410,B,B,E,2.48781,C,C,42.14963,Q
0,B,0.9404,A,B,A,9.03921,B,E,14.49395,B
0,B,0.4520,C,B,A,8.01946,F,H,32.85771,N
0,B,0.1343,A,B,E,6.56941,D,C,69.67909,A
0,A,0.4937,C,C,B,7.85553,A,J,96.18427,J
1,A,0.6458,A,C,A,0.98054,C,G,21.89067,C
1,A,0.6049,A,B,C,8.37170,E,E,18.63816,F
1,B,0.9195,D,B,E,7.47440,D,B,35.40226,E
1,A,0.3056,A,A,C,5.04379,B,F,34.07442,K
0,B,0.4022,A,A,E,7.38889,C,F,85.22069,D
0,B,0.2809,A,B,A,5.44712,D,A,47.84345,S
1,B,0.0898,D,B,A,6.59853,F,C,77.06823,R
1,B,0.7455,C,B,E,7.25798,C,E,92.05015,Q
0,A,0.5124,A,B,A,9.96250,D,E,13.84490,D
0,B,0.8187,C,B,E,0.09650,D,A,15.59667,S
0,B,0.6495,A,A,A,9.20761,B,B,55.92566,P
0,B,0.4889,A,B,A,9.50948,A,B,34.00901,C
1,A,0.0913,A,B,C,2.02553,E,E,66.25603,A
1,B,0.3905,D,B,A,9.76950,E,B,8.850939,D
1,A,0.9207,D,A,E,6.48838,B,B,17.22165,T
1,B,0.3870,A,A,A,4.99170,B,B,58.69300,M
0,A,0.1262,D,B,A,5.50104,C,D,77.29624,K
0,B,0.8909,A,C,B,5.40807,D,C,5.154089,H
1,A,0.2743,C,B,A,3.64481,F,D,89.82029,J
0,A,0.0890,A,C,E,0.50291,D,B,39.11694,M
1,A,0.0939,C,B,C,3.41915,C,E,4.053576,L
0,B,0.6519,A,B,A,3.23728,D,B,62.49596,S
0,A,0.4033,C,B,A,3.97371,C,I,91.04135,C
1,B,0.3268,A,B,E,9.21652,D,E,81.93100,A
0,B,0.1408,D,B,B,1.94414,E,I,77.73492,M
1,B,0.5215,D,B,C,3.79953,E,B,66.09707,M
1,A,0.7704,C,B,A,2.94269,F,B,44.92132,A
0,B,0.0138,A,B,A,7.23637,B,B,10.45677,J
1,B,0.8005,D,B,A,0.87801,B,E,72.33919,T
0,A,0.4194,C,B,B,1.69145,D,B,80.23830,E
0,B,0.5266,D,B,B,2.81544,E,G,17.93624,O
1,A,0.0051,B,B,C,8.00949,E,G,10.65842,O
